tweet,username,likes_count,date,sentiment2cat,sentiment3cat
we will make it to the top and when we do i'm going to tell her that the m is for maddy. maid,deedeehttr,0,2021-10-13,pos,pos
this series was phenomenal maid,purplemazey,0,2021-10-13,pos,neu
i am loving this series maid,dollli_p,0,2021-10-13,pos,pos
"sriyatun is escape every year, more than a thousand domesticworkers are brought to the us by diplomats and other foreignofficials. what happens when those workers face abuse? daryaft longform longreads maid california sexualharassment",daryaftlongform,0,2021-10-13,pos,neg
watching maid is actually heart wrenching,fundymum,0,2021-10-13,pos,pos
i've just watched s | e of maid maid tvtime,xmasz2_,0,2021-10-13,pos,neu
"what really matters is getting the maid right. when you're the only critic on rt who downplays a deeply raw and disturbing tale of what is it like to be poor and abused in america, something ai not right. male privilege at its finest.",gladneyglorija,0,2021-10-13,neg,neg
why maid is portrayal of a tricky motherdaughter relationship is so powerful:,stylistmagazine,1,2021-10-13,pos,pos
man. i love danielle. what a great friend. maid,carriemehome144,0,2021-10-13,pos,pos
my heart hurts so deeply for the girl in maid pleading i just want to hug her,queendelasassss,0,2021-10-13,pos,pos
"sorry but yes girl, you're so stupid. maid",vespard,0,2021-10-13,neg,neg
nyt mikehale grossly misses the point in his review of maid toxic white maleism at its finest. just look at the deviation of his review from the pack.,gladneyglorija,0,2021-10-13,pos,neg
somebody need to show alex this sobskull and crossbones selector maid,nytajachnee,0,2021-10-13,pos,neu
"m-master, do not look at me li-like that... c-can i help you? artidn maid artistofindonesia art artwork artistsontwitter artistofindonesia ibispaintx ibis",soralicee,35,2021-10-13,pos,pos
just a little something to think about after watching maid the way the show portrayed alex is story it might seemed easy to get out of that situation but in some aspects she only got that far by luck and some women do not have that maidnetflix,voicelesscorpse,1,2021-10-13,pos,pos
matter fact watching the maid on netflix. also gave me reassurance that no matter what obstacles i was ever faced with i never gave up. and still do not.,byeebih,0,2021-10-13,neg,neu
maid on netflix is an emotional &amp; a very well crafted drama series. while watching it ghalib ka ye sher yaad agaya ‘mushkilain itni peri mujh pe kay asaan ho gayin’ this show is hell engaging tbh. a must watch.,itsmaleeeks,7,2021-10-13,pos,neg
love it when friends recommend a netflix series maid sparkling heart such a powerful watch! x,susanalder87,1,2021-10-13,pos,pos
mind well and truly boggled ! a fab series. powerful stuff. maid,gilly38,0,2021-10-13,pos,pos
netflix did a really great job creating this show maid,rowayousef,1,2021-10-13,pos,pos
"maid review: based on stephanie land is memoir, the netflix mini-series is riveting thanks to an astonishing margaretqualley, and the exploration of damage caused by the unending circle of abuse",thehinducinema,19,2021-10-13,pos,neg
nate did nothing wrong and if you have a problem with him putting her out then you are the problem. maidnetflix maid,outgoinglyshy,0,2021-10-13,neg,neg
nate is home watching alex daughter and she is sitting on the floor kissing sean who has nothing to offer…. but y’all mad at nate for putting her ass out. y’all the problems in y’all relationships obviously. maidnetflix maid,outgoinglyshy,0,2021-10-13,neg,neg
"without even realizing, she went right back to her abuser upside down face i hate it here !! maid",whyy_rochhh,1,2021-10-13,neg,neg
i've just watched episode s | e of maid! maid tvtime,wolfqueen_110,0,2021-10-13,pos,neu
maid. such a good series. really moving and real and sad and heartbreaking and everything in between. maid maidnetflix,mosesdas,0,2021-10-13,pos,neg
we finished watching maid last night &amp; it really brought home how difficult it is to get out of poverty. the state really has to be more generous in not only giving people a leg up but also giving them breathing space to recover &amp; rebuild emotional &amp; financial resilience.,mojitowoke,7,2021-10-13,pos,pos
"maid is just fucking brilliant is not it? how do i make sure i birth a child as cute as maddy? i will not settle for anything less, anything not as cute shall be returned",amymcpherson_,0,2021-10-13,pos,pos
i've just watched episode s | e of maid! maid tvtime,tattooedgrande_,0,2021-10-13,pos,neu
"followers off the maid costume stream oh dear, it is been ordered anyway!",cr_45h,4,2021-10-13,pos,pos
"maid, season , episode . maidnetflix maidonnetflix",wkm_up,4,2021-10-13,pos,neu
i support alex and nate in a relationship! maid maidnetflix,rioinfani,0,2021-10-13,pos,pos
"have you watched maid? all single mums who had to go through the system will feel connected, all those toxic people hopefully get a glimpse of their chaos, and all those who never had to beg for help, hopefully feel a bit more empathy. i thought it was excellent.",tweedtango,1,2021-10-13,pos,pos
will anything else live up to squidgame and midnightmass on netflix this week? started maid but still craving the other two,therealsmorgan,0,2021-10-13,pos,neu
i've just watched episode s | e of maid! maid tvtime tvtime,tholicq8,0,2021-10-13,pos,neu
"nate knew what to say he said phone charger in the car, hit up starbucks i would of got up to joy maid",ibluedatup,0,2021-10-13,pos,pos
i've just watched episode s | e of maid! maid tvtime,uptownalren,0,2021-10-13,pos,neu
"i just watch maid on netflix it was really good. i can relate to many things she went through. dv, homeless with  children, absent parents. i made it through college &amp; was able to raise my girls &amp; they are good mother is &amp; i'm so very proud of them. motherslove",lenorewilson20,1,2021-10-13,pos,pos
"now that i know i dont have an admission coming, i can binge maid and eat my salad. we only have  clients here, this week has been literally me at my desk doing nothing but safety calls.",elevatedhoney,0,2021-10-13,pos,neg
just finished maid series on netflix and they made such strong statements. props to all women who were able to leave abusive relationships. acknowledging that you're abused is one thing and getting out of it is another.,zygmaund,2,2021-10-13,pos,neg
lmao not the friend stealing a whole dog.joyjoymaid,_memza_,0,2021-10-13,pos,pos
shoutout to the writers of maid ... and give margaret qualley her mf'n things!! i watched all  episodes of maidnetflix in one sitting! best  hours i've spent enjoying in the last few months!!,purpose_filled,3,2021-10-13,pos,pos
"“before they hit you, they hit near you” … it grows. like mold. se maid : maid netflix",ttyger,0,2021-10-13,pos,pos
that pony is neither a shetland nor bay maid,cheekyhobbit,1,2021-10-13,pos,neu
"... but it could be a -hr long movie rather than a -part series. it was really good, though. heavy but worth your time. maid maidnetflix maidonnetflix",joanacatbagan,1,2021-10-13,pos,pos
i've just watched episode s | e string cheese of maid! maid tvtime,theskyequakes,0,2021-10-13,pos,neu
i've just watched episode s | e of maid! maid tvtime,uptownalren,0,2021-10-13,pos,neu
holy shit maid is so gooood. started it last night and i’m already on episode .,itslisetterenee,0,2021-10-13,neg,neg
unmmhmmm ... now look atcha!! leopards do not change their spots. maid maidnetflix,purpose_filled,0,2021-10-13,pos,neu
"maid my childhood furniture and piano came from this. when she died, the idiot dismissed her existence.",ahavakhatool,0,2021-10-13,neg,neg
i’m halfway through this maid show on netflix… am i supposed to like the main character alex?? because…,_dreamitbeit,0,2021-10-13,pos,pos
maid was such a good series raised hands the ending was so meaningful,amor_jacquie,2,2021-10-13,pos,pos
now she is fired?!?!!! baby girl been catching hell for  episodes!!! maid maidnetflix,purpose_filled,0,2021-10-13,pos,neg
oooops! she left the journal! but that might end up working in her favor! maid maidnetflix,purpose_filled,0,2021-10-13,pos,pos
i've just watched s | e of maid! maid tvtime,puthculture,0,2021-10-13,pos,neu
damaged people really damage other people. maid,vespard,0,2021-10-13,pos,neg
maid (hindi) netflix tv web series  watch official trailer netflixindia maid,mrhdin,0,2021-10-13,pos,neu
i've just watched episode s | e of maid! maid tvtime,uptownalren,0,2021-10-13,pos,neu
"i can not say anything about this series, just want to give a five star. really good+. maidnetflix maid",indrisptr,3,2021-10-13,pos,pos
"honestly, i had a hard time identifying the dv issues in maid. it seemed more clearly a story of the financial abuse our entire nation puts us through. a livable minimum wage would have ended her struggle.",charmoooo,1,2021-10-13,pos,neg
whyyyyyyyy would you settle for a sean when you can have a nate?!?!?!! wtf sis?!?!! wtf?!?!!! maid maidnetflix,purpose_filled,7,2021-10-13,neg,neg
ughhhhhhhhhh she is kissing sean!!!!!!!!!!! maid maidnetflix,purpose_filled,1,2021-10-13,pos,pos
i've just watched episode s | e of maid! maid tvtime,gabsbs_,0,2021-10-13,pos,neu
"idc, that whole mfing toilet on maid was suppose to be sitting by the trashcan by the curb in the front yard nauseated facevomitingsymbols over mouth",_tejabella_,0,2021-10-13,neg,neu
says he relates to “alex” on netflix series maid maiden maid iamthemaid,iknowmrforbes,0,2021-10-13,pos,neu
ok so is alex slow? maid,joellasworld,0,2021-10-13,pos,pos
not me at  am convincing my mom we need to watch another episode of maid,devonkate,0,2021-10-13,pos,pos
i've just watched episode s | e of maid! maid tvtime,herondstydia,0,2021-10-13,pos,neu
damn this shit has me crying now maid,_rastagyalash,1,2021-10-13,neg,neg
"i could not stop &amp; watched back to back all episodes of maid i thought landlord of alex may testify that how emotionally abused she is by her husband, bt story did not went till that end. i wish society will acknowledge the emotional abuse is also domesticviolence maidnetflix",dr_chayanika,6,2021-10-13,pos,neg
i've just watched s | e of maid! maid tvtime,puthculture,0,2021-10-13,pos,neu
"maid it is a ride, a gambit of emotions, def an insight into dv, abuse, childcare, poverty and assistance (in the us). a little predictable but keeps you on the edge till the end. margaret qualley is a delight and exceptionally good. microreview netflix maidnetflix maid",sayyami_7,1,2021-10-13,pos,pos
what is about to happen with alex in this house and this man she met online 😵‍💫 maid,cocojenell,0,2021-10-13,pos,neg
this girl flippen dumb cause why she ai not leave that child with her dad maid,_amorfelicia,0,2021-10-13,neg,neg
lmao did she take her clothes home?! sobsob maid,joellasworld,0,2021-10-13,pos,pos
is watching the maid tvseries on netflix &amp; claims to “relate with alex.” alexmaid maidalex iamthemaid maidnetflix netflixmaid,iknowmrforbes,0,2021-10-13,pos,neu
i used to always ask my daddy to get me a shetland pony!! he got me a whole barrel racing mare instead! maid maidnetflix,purpose_filled,0,2021-10-13,pos,neu
i've just watched episode s | e of maid! maid tvtime,uptownalren,0,2021-10-13,pos,neu
people really self sabotage maid,rachtaughtyou,0,2021-10-13,pos,neg
alex girl what are you dooiinnggg maid,rachtaughtyou,0,2021-10-13,pos,neu
"damn, alex can not catch a break maid",sydnoaustralia,0,2021-10-13,pos,neg
alex you’re an idiot girl maid,rachtaughtyou,0,2021-10-13,neg,neg
maid netflix . had me i n tears for most of it. it was so gut wrenching and realistic.,makeitrightful,0,2021-10-13,pos,neg
i've just watched episode s | e of maid! maid tvtime,gabsbs_,0,2021-10-13,pos,neu
mann i cant remember the last time i saw nick robinson on-screen but he looks so good as ever. still one of those white men i'd claim maid,viewdef,0,2021-10-13,pos,pos
wanna know toxic? watch maid on netflix. damn lol.,deadspacetrash,0,2021-10-13,pos,neu
"i'm almost finished watching maid. i've cried so many times, thinking of my own single mother and so many others. i also absolutely love that alex has real flaws and sean even had redeeming qualities, because god knows none of us are perfect.",simoneajordan,1,2021-10-13,pos,pos
watching the maid on netflix. this is very well written. there is an amazing lesbian scene. it was this moment the writers earned me in originality imhooked &amp; i relate to alex %,iknowmrforbes,1,2021-10-13,pos,pos
i've just watched episode s | e of maid! maid tvtime,herondstydia,0,2021-10-13,pos,neu
when is my girl alex gonna get a break?! geez!!!!! maid maidnetflix,purpose_filled,0,2021-10-13,pos,neu
i've just watched s | e of maid! maid tvtime,puthculture,0,2021-10-13,pos,neu
took her long enough to contact nate!! maid maidnetflix,purpose_filled,0,2021-10-13,neg,neu
currently watching maid. pretty good.,amearaceleste_,0,2021-10-13,pos,pos
she betta dan mi. maid,shanae_ari,0,2021-10-13,pos,neu
my favorite character in this series pleadingheart maid,grogdope,2,2021-10-13,pos,pos
i’m late but this maid series on netflix is addicting. this girl really knows how to take a bad situation and make it worse.,chadowboxx,0,2021-10-13,neg,neg
maddy is a giant  year old maid,d_wiggs,0,2021-10-13,pos,neu
finally finished maid so good!,agave_plant,7,2021-10-13,pos,pos
i feel like you could look at alex and think she is not doing enough but until you experience it…maid,heyitsmekmac,0,2021-10-13,pos,pos
omg i love regina maid,heyitsmekmac,0,2021-10-13,pos,pos
of course sean is an abusive junkie that can not stay sober long enough to be a father roll eyesroll eyes maid,d_wiggs,0,2021-10-13,pos,neg
i knew basil was a no good so &amp; so!! maid maidnetflix,purpose_filled,2,2021-10-13,neg,neg
i’m watching maid and i want to punch alex is mom sooooo bad !,papi_unicorns,0,2021-10-13,neg,neg
how small is this place that they live? alex does alotta walking and it always takes  seconds to get where she is going. maid,d_wiggs,0,2021-10-13,neg,neu
good times and great hits only on classic airwaves + maid,nyandaruaexpres,0,2021-10-13,pos,pos
damnit alex maid fucksean,vdrevnnv,3,2021-10-13,pos,neg
i've just watched episode s | e of maid! maid tvtime,_k3ff_,0,2021-10-13,pos,neu
motion to compel a season  of maid. do i have a second? maidnetflix,egoteprovoco99,0,2021-10-13,pos,neu
maid on netflix is a very good tv show.,gabayjonathan,5,2021-10-13,pos,pos
not alex back at square one. sob maid,heyitsmekmac,0,2021-10-13,pos,neg
when you’re only fighting for full custody of your child to be an asshole but then realize you can not even take care and handle them woozy t r a s h maid,storkpatrol,0,2021-10-13,pos,neg
"good people are not her ""thing"". she chases after her mother is drama. she neglects her daughter. she did not support sean in getting better and attending meetings. alex is mad trash. maid",idkyourbfftiff,2,2021-10-13,pos,neg
"the storyline to maid is trash. they want you to believe that alex is this bleeding heart, but really she likes to place herself in victim roles all the time. she is not a victim of circumstance. she actively places herself in poor situations.",idkyourbfftiff,2,2021-10-13,neg,pos
is maid a true story? how a book by the real life alex inspired netflix is maid,cosmopolitanuk,0,2021-10-13,pos,pos
"d: you're here because he abused u. a: he did not abuse me because he punched the wall besides my head. d: punching the wall next to u is emotional abuse. before they bite, they bark. before they hit u, they hit near u. next time it was gonna be your face &amp; u know that. maid",strawberykacang,0,2021-10-13,pos,neu
since the maid the ‘shoop’ song has been stuck in my head,abbeyleereade,0,2021-10-13,pos,neg
nate is a husband. maid,__dlm,0,2021-10-13,pos,neu
alex is irking me. maid,d_wiggs,0,2021-10-13,pos,neu
"i really think it is worth your time, just keep in mind that at least in my opinion, the  episodes felt excessive. maid johnwells nzinghastewart lilaneugebauer helenshaver quyentran series miniseries streaming netflix margaretqualley nickrobinson anikanonirose",siuloczoro989,0,2021-10-13,neg,pos
whew ise gonna beat the shit out of sean mommy maid,_amorfelicia,0,2021-10-13,neg,pos
was going to watch maid but y'all seem traumatized and stressed by it....so i'll check out theguilty,rimzzzeee,0,2021-10-13,pos,neg
i've just watched s | e of maid! maid tvtime,puthculture,0,2021-10-13,pos,neu
just started watching maid clapping hands medium dark skin tonenerd face,iamincog,1,2021-10-13,neg,neu
"maid trending on netflixindia is a barbed, intense, and fragile look at emotional abuse and survival, writes .",filmcompanion,7,2021-10-13,pos,neg
i did not know i was this emotional sob maid finally,_soulsnatcha,0,2021-10-13,pos,neg
finished maid in  days screamoutstanding series. andie macdowel delivers a fantastic performance as a hippie bipolar mom. what a beautiful woman.,mama_andthecity,1,2021-10-13,pos,pos
"""he is familiar, but he is a stranger. i know i love him, but i do not recognize him."" maid maidnetflix",purpose_filled,0,2021-10-13,pos,pos
the way alex treated nate after everything he did for her. i would have married that man in the beginning. maid,charityjeanette,0,2021-10-13,pos,neu
yeahhh sean is about to piss me off maid,_darkandlov3ly,0,2021-10-13,pos,neg
maid is crazy!,caramel_missez,0,2021-10-13,neg,neg
now why would she meet this man at these people is house!?!! lawd!! maid maidnetflix,purpose_filled,1,2021-10-13,pos,neu
witchtober day : maid elf maid,kew630,2,2021-10-13,pos,neu
omg i love you !!! maid,_tesssalynn,0,2021-10-13,pos,pos
i've just watched episode s | e of la asistenta! maid tvtime,eal_93,0,2021-10-13,pos,neu
just watched series episode s | e of maid! maid tvtime,jaykarwolfe,0,2021-10-13,pos,neu
typical man shit. only took the child to hurt the mom and then realized he does not actually want full custody when he had to be responsible for her. maid,joellasworld,1,2021-10-13,pos,neg
maid of the death. second day in class free time drawing maid sketchbook,desonoob,2,2021-10-13,pos,neg
emotions at an all time high in episode  of maid. but brb gotta bump a tweet,bigmouthlouu,0,2021-10-13,pos,neu
omg! are they siamese twins! i'm sure they're utterly adorable. all of the house cleaning scenes in netflix is maid have been motivating me to clean my home more than usual!,martinatpeace,0,2021-10-13,pos,pos
i've just watched episode s | e of maid! maid tvtime,felipedecaldas,0,2021-10-13,pos,neu
so she does not have her pep class certificate all cus she went to help the nigga who abusers her. chile maid,joellasworld,0,2021-10-13,pos,neg
why does she give a damn where sean is?!?? maid,joellasworld,0,2021-10-13,pos,neg
omg alex has terrible parents. i get why some of you are so shitty. maid,joellasworld,0,2021-10-13,neg,neg
i've just watched episode s | e of maid! maid tvtime,giulliagabi_,0,2021-10-13,pos,neu
she should have been taking pictures and videos to show in court when she found him drunk &amp; high. maid maidnetflix,purpose_filled,0,2021-10-13,neg,neg
just finished maid. i have not watched something that good in a long time. just amazing,joannamwallace,8,2021-10-13,pos,pos
i've just watched episode s | e of maid! maid tvtime,brunanl,0,2021-10-13,pos,neu
maid is a heavy movie to watch. filled with lessons but very heavy,blessingsdigha,6,2021-10-13,neg,neu
eu tava assistindo maid s | e ponies and it was wow tvtime,calabokjess,0,2021-10-13,pos,pos
s | emaidwows | ei've just watched episode s | e of maid! maid tvtime,nadialeemanson,0,2021-10-13,pos,neu
this girl do not got enough problems on her plate bout wan be ghost hunter maid,shanae_ari,0,2021-10-13,neg,neu
s | emaidwows | ei've just watched episode s | e of maid! maid tvtime,nadialeemanson,1,2021-10-13,pos,neu
typical ... he gets to be out drinking while someone else is watching the baby. maid maidnetflix,purpose_filled,0,2021-10-13,neg,neu
finished maid &amp; it was a thumbs up medium skin tone,theebebe_,2,2021-10-13,pos,neu
eu tava assistindo maid s | e dollar store and it was wow tvtime,calabokjess,0,2021-10-13,pos,pos
the move out in ep.  was when i woulda had to find another job!! maid maidnetflix,purpose_filled,0,2021-10-13,pos,neu
