tweet,username,likes_count,date,sentiment2cat,sentiment3cat
theguilty on netflix gave me the worst anxiety. jakegyllenhaal killed it. thrill ride.,hurleybuck9009,1,2021-10-13,neg,neg
watching theguilty on,zuber28,0,2021-10-13,pos,neu
happy humpday morning before you wakeandbake workout eatbreakfast drink coffee or work tap to download a movie review podcast for venom themanysaintsofnewark theguilty titane queenpins elvira &amp; more,movie_toast,0,2021-10-13,pos,pos
i sincerely recommend watching theguilty on netflix. this emotional rollercoaster of a movie was just so brilliantly filmed. i absolutely loved it. the thrill and suspense were special! fun fact: the movie was shot in  days and with  actor in  room.,itsyashiyer,3,2021-10-13,pos,pos
theguilty on with jakegyllenhaal at his absolute best. horribly stressful movie for me but damn good ! clap,mrs_nan_cie,0,2021-10-13,pos,neg
movies to watch if you liked ‘theguilty’ colinfarrell green heartfour leaf cloverirelandclapper phonebooth () usfilm projectormovie camerafilm strip,nitboon89,1,2021-10-13,pos,pos
fck jake gyllenhaal is such a great actor…. theguilty,monikiiia,0,2021-10-13,pos,pos
theguilty gave me chills,mislovm98,0,2021-10-13,pos,neu
theguilty is such a great new part of the discussion around police. very unrepresented perspectives.,whenstherave,0,2021-10-13,pos,pos
theguilty “snakes in his stomach” wtf,ohthats__jayy,0,2021-10-13,neg,neg
yooooo theguilty exploding headexploding headflushed emily you mf bitch,ohthats__jayy,0,2021-10-13,pos,neg
“snakes in his stomach” completely threw me off…theguilty theguiltynetflix,type2_introvert,2,2021-10-13,pos,neu
"theguilty is one of the best films i've watched in awhile. a man coming to terms w/ his past through a dire situation in the present. writing, acting, cinematography, score, editing. everything was near perfect. one of the only films i can say has gotten close to a /",drsandhill,0,2021-10-13,pos,pos
jake gyllenhaal deserves all the awards for theguilty raising hands light skin toneraising hands light skin tone,amberxacula,0,2021-10-13,pos,pos
review of theguilty theguiltynetflix,paullev,0,2021-10-13,pos,neu
"binge report u.s streaming tv &amp; movie charts: the rise of ""black widow"" (october  - october , ): bingereport tvtime blackwidow theguilty davechappellethecloser squidgame onmyblock themorningshow maidnetflix netflix disneyplus appletv",streambly,0,2021-10-13,neg,neg
watching theguilty on netflix like -,joeypurple,0,2021-10-13,pos,pos
now watching: theguilty,shortibynature_,0,2021-10-13,pos,neu
"el culpable () the guilty ufff director: antoine fuqua protagonista: jake gyllenhaal, theguilty jakegyllenhaal",chauchinoo,0,2021-10-13,neg,neg
"theguilty is essentially an exact copy of the original  film. i watched the two back-to-back and the only visible differences i found in the story are that fires are questionably added, asger/joe has a daughter, the journalist is used again, the baby is alive, and that asger",gembiscuits,1,2021-10-13,pos,pos
"theguilty on netflix … thumbs down medium skin tone it gave me off brand halle berry and the call vibes with a twist, except he never left that building",jaibaii,2,2021-10-13,neg,neu
theguilty was trash!,401sha,0,2021-10-13,pos,neu
was going to watch maid but y'all seem traumatized and stressed by it....so i'll check out theguilty,rimzzzeee,0,2021-10-13,pos,neg
"thinking theguilty film available now was ok! could be better put it more weight to the story but still, was alright with great performance of jakegyllenhaal",filmesrome,0,2021-10-13,pos,pos
yeah def a waste of a movie.. theguilty unamusedunamused,3_oh_5,0,2021-10-13,neg,neg
the guilty theguilty theguiltynetflix jakegyllenhaal netflix,movieushermx,0,2021-10-13,neg,neg
this series was clearly an indicator of shaving points off. also time to rebuild. entire brewers staff should be force to watch theguilty terrible movie on,anirritatedmind,1,2021-10-13,neg,neg
theguilty was the worst movie i ever watched in a decade beating movies. what a waste of time.,anirritatedmind,0,2021-10-13,neg,neg
watching theguilty on netflix with babe and it is soo fckn good!,eknievel,0,2021-10-13,pos,pos
this movie every damn where! roll eyeswoman facepalming theguilty,3_oh_5,1,2021-10-13,pos,neg
theguilty is straight ass joyjoyjoyjoy,livingiconchey,0,2021-10-13,pos,neg
soooooo this is like cellular theguilty,knightgambit,2,2021-10-13,pos,pos
lets goooo theguilty,knightgambit,0,2021-10-13,pos,neu
seems like a setup to me theguilty,aishabeezwityrn,0,2021-10-13,pos,pos
the damn black lady giving this man hell on the phone joyjoyjoy theguilty,3_oh_5,0,2021-10-13,neg,neg
some suggestions of what to watch after theguilty.,collider,13,2021-10-13,pos,neu
i keep falling asleep on theguilty on netflix and it is top ten roll eyes,kaaymarsh,0,2021-10-13,pos,pos
"slandering theguilty probably because he was scared. it was intense, it is understandable to be scurred. it was a decent short movie, get off jake.",qbgh,0,2021-10-13,pos,neg
enjoyed theguilty. tense thriller that reminded me of the phone booth. good performance by jake gyllenhaal. netflix,sirmannyg,0,2021-10-13,pos,pos
make tuesday night movienight when you tap to download our movie review podcast for the following movies venom lettherebecarnage themanysaintsofnewark theguilty titane queenpins elvira mistressofthedark whatif,movie_toast,0,2021-10-13,pos,neu
now y’all done hyped up theguilty and that movie was not talking about ish unamused netflix,gapeach2009,0,2021-10-13,pos,neu
"this nigga said ""breathe with me"" but he can not even breathe trying to use a damn inhaler coughing up a lung theguilty",postboykeylo,0,2021-10-13,pos,neg
"netflix is loaded now. should i watch squidgames, theguilty, or thecloser ?",stuck_inthe90s,0,2021-10-13,pos,neu
"jakegyllenhaal is an amazing actor (duh, but i just have to say it). theguilty is so fucking good.",omgmonicashere,0,2021-10-13,pos,pos
just watched theguilty on netflix. my verdict,haf_025,1,2021-10-13,pos,pos
watching theguilty even though ollie has already watched it and said it was bab….however jake gyllenhaal,amberstripes19,1,2021-10-13,pos,neu
jakegyllenhaal is performance in this thriller is pretty gripping. theguilty,rcar93,1,2021-10-13,pos,pos
"() so i just watched theguilty on and i have some theories… warningwarningspoilerswarningwarningwhat if the “incident” happened with his  year old brother and his father and that is why he was so emotionally involved? using your firearm as an officer, especially",bodybendersage,0,2021-10-12,pos,neu
theguilty on netflix was pretty damn tense (i'd not seen the original film it was based on). great acting from jake.,the_matt_shaw,3,2021-10-12,pos,pos
yoooo do my ears deceive me or did i hear your glorious vocals in jake gyllenhaals new flick “theguilty”? roflrofl,johnnyr75952074,0,2021-10-12,pos,pos
broken people save broken people jakegyllenhaal theguilty,martinamaran17,0,2021-10-12,neg,neg
"i have not seen jake gyllanhall in theguilty on netflix yet. and it really may be great! i plan to watch it. that said, i hope you also watch the original. it really is stunning. one option:",rothcornet,38,2021-10-12,pos,pos
"i just watched theguilty in . % recommendable. it´s basically a ""solo"" thriller movie.",rodda2206,0,2021-10-12,pos,pos
broken people save broken people netflix theguilty movie,hussainhaidari,0,2021-10-12,neg,neg
theguilty is not the first thing to check out on netflix but the film is captivating and keeps you engaged during the entire  minutes. worth checking out if you’re a fan of movies like phonebooth.,thespoilersteve,0,2021-10-12,pos,pos
watched theguilty on netflix. jake gyllenhaal is phenomenal. the movie is intense at some point but the plot is kinda dragged imo. only watchable because of jake is performance. ./,cameow_7,0,2021-10-12,pos,pos
the twist of it all theguilty,gilbody_ryan,0,2021-10-12,pos,neu
why would i decide to watch theguilty prior to going into work wearywoman facepalming medium skin tone,queenaintshit,0,2021-10-12,pos,neu
theguilty on is kinda gooood “broken people save broken people” -,cormierchaney,0,2021-10-12,neg,neu
theguilty is horrible lol. they literally threw a movie together to tug at heart strings with absolutely zero plot structure what-so-ever. and just tossed in ca wildfires for some substance that was completely irrelevant lol theguiltynetflix,gamingnatural_,0,2021-10-12,pos,pos
theguilty with jakegyllenhaal is the type of movie that would have been a theatrical bomb but should be a deserved success on . and i may be the only person who was reminded of the slender thread when i watched it.,silverscrvideos,0,2021-10-12,pos,pos
theguilty is freaking awesome.. jake screen presence is terrific.. jakegyllenhaal,sleepyhead_an,0,2021-10-12,pos,pos
of you're a fan of jakegyllenhaal rileykeough ethanhawke pauldano billburr davinejoyrandolph tap to download our movie review podcast for theguilty edipatterson petersarsgaard davidcastaneda christinavidal adrianmartinez eligoree,movie_toast,0,2021-10-12,pos,pos
"does is theguilty qualify as copaganda? despite its best efforts, yes. our full review:",mediaversityrev,2,2021-10-12,pos,neg
"jake gyllenhaal, take a bow! the emotions in theguilty ! so good!",ranjika_perera,5,2021-10-12,pos,pos
"the issue with this film is, once you've guessed the twist, everything falls flat theguilty",shona_harding,0,2021-10-12,neg,neu
"""broken people save broken people..."" theguilty",whyterae91,1,2021-10-12,neg,neg
theguilty....that is it....that is the tweet. i have not taken a full breath for about % of this movie! and there is still  mins left...i just....,whyterae91,1,2021-10-12,pos,neu
voice acted the hell outta this movie!!!!! bruh! theguilty,whyterae91,0,2021-10-12,pos,neg
bruh!!!!! theguilty on netflix!?!?!?!?!??!?!,whyterae91,0,2021-10-12,pos,neu
"theguilty jake gyllenhaal delivers another stellar turn in a claustrophobic, gut-wrenching thriller in close-up",film_rev_daily,1,2021-10-12,neg,pos
"theguilty on netflix need you to be prepared to be in your feelings when you watch it. remindes me of ""the call""",noko_kj,0,2021-10-12,pos,pos
share with us ur thoughts on movie.. if u have not watched it already do watch it.. netflix theguilty jakegyllenhaal movie,nutshellresume,0,2021-10-12,pos,pos
") how am i just now appreciating how fine jake gyllenhaal is?⁣ ) oh, okay. i was not expecting that to happen.⁣ theguilty",rikkipoynter,4,2021-10-12,pos,pos
what is wrong with joe theguilty,itsreallyjess,0,2021-10-12,neg,neg
the guilty starring jake gyllenhaal is an interesting psychological drama that is worth watching on netflix. check out my moviereview on youtube theguilty jakegyllenhaal drama thriller,marcusleetv,0,2021-10-12,pos,pos
the guilty () - read  movie reviews link: theguilty moviereviews,cinafilm,0,2021-10-12,neg,neg
this theguilty movie on _ph is stressful.,attyjong,3,2021-10-12,pos,neg
recent watches in the rossi household: midnightmass ./ woodstock doc () / listen to our pod on this - theguilty / what should we watch next?,jasondrossi,0,2021-10-12,pos,neu
"gotta say, i was disappointed w/ theguilty. ended up fast forwarding through most of the end.",nataliealund,0,2021-10-12,neg,neg
. suggested people watch theguilty on netflix + here are some horror movies to check out that are pg-.,bobbybonesshow,6,2021-10-12,pos,neg
my review on theguilty,realmolaleye,1,2021-10-12,pos,neu
anyone watched theguilty yet? certainly keeps you entertained. warning anxiety and wtf moments inducing netflix thriller movies mentalhealth mentalhealthawareness mentalhealthmatters,youdoyou19,0,2021-10-12,neg,neg
"""broken people save broken people"" theguilty",sainathsrv,5,2021-10-12,neg,neg
"highly recommend theguilty on netflix. more twists and turns than a rollercoaster, but a very good watch.",hanlrobson,1,2021-10-12,pos,pos
how theguilty sound designers cranked the tension in antoine fuqua &amp; jake gyllenhaal is thriller,snlbjrc,0,2021-10-12,pos,neg
"stop squidgame arguments when there is a perfectly good jake gyllenhaal movie, that we can all hate. together. theguiltynetflix theguilty",anna_adara,1,2021-10-12,neg,neg
just watched theguilty ().,ridonesx,0,2021-10-12,pos,neu
a fresh look at the old kidnapping storyline theguilty,shona_harding,0,2021-10-12,pos,pos
podcast headphones episode  now available covering notimetodie theguilty blackasnight thebeguiled &amp; shadowinthecloud guests: &amp; podcasthq podernfamily filmtwitter spoilers moviereviews backhand index pointing right medium light skin tone backhand index pointing left medium light skin tone,sceneitcast,7,2021-10-12,pos,neu
"from , theguilty is a remake of the danish thriller and follows the story of a demoted police officer who receives a phone call from a kidnapped woman. starring jake gyllenhaal, ethan hawke, and trending movie camera the guilty |",friendspireapp,0,2021-10-12,neg,neg
broken people save broken people. theguilty,crbtjstnmrk,0,2021-10-12,neg,neg
how have i just finished watching a movie at  a.m. where jake gyllenhaal just spoke on the phone for about  mins?! what an intense movie! theguilty,iyer_siddhanth,5,2021-10-12,pos,pos
theguilty sur netflix broken heartcry,joblack117,0,2021-10-12,neg,neg
the guilty - . dependable if not a little underwhelming theguilty,lt_sludge,0,2021-10-12,neg,neg
mustwatch jakegyllenhaal beloved twitterers please see enclosed a must watch netflix movie. you will find him an extraordinary actor. hmins only him acting like no one else. theguilty,ladybirdbiglove,2,2021-10-12,pos,pos
only a puss will not be able to appreciate jake gyllenhaal is amazing acting in theguilty jakegyllenhaal,reddy_sukeerth,1,2021-10-12,pos,pos
"theguilty had to be one of the cheapest movies ever filmed, they used  rooms, a hallway, some computer screens, and a bathroom for  minutes",merlotpapii,0,2021-10-12,pos,neu
just watched theguilty wow so good!!!,alexisamore,6,2021-10-12,pos,pos
theguilty is not being talked about nearly enough. antoine fuqua twice now has brought out amazing performances by jake gyllenhaal and they've both been ignored for the most part. what a ride that movie was. it is on !,wewatchedamovie,42,2021-10-12,pos,pos
give jake gyllenhaal his flowers while he is still alive. theguilty,sakibnazelus,1,2021-10-12,pos,pos
"if y'all have not already, watch theguilty on absolutely fantastic movie.",lmaoagill,2,2021-10-12,pos,pos
"in the last few mins that i've started writing these tweets gyllenhaal has shown a crazy range lol he went from angry, to scared, to confused, to arrogant, to remorseful, back to angry and scared again. jeez that is acting theguilty",idryblutch,0,2021-10-12,neg,neg
i’m trying to figure out how they let this man continue acting like that in the call centre theguilty,armanirue,2,2021-10-12,pos,pos
"this is a nice win for netflix, showing that they continue to attract big talent.  minutes and uses every bit of it. theguilty",secretavenger22,1,2021-10-12,pos,pos
"i'm sitting here, delightfully stunned, scared, and in pure awe of that whole movie! jg nailed every damn nuance, i hated him, rooted for him, hated him again, then cried for him! i, somehow, feel violated and content at the same time! just wow! theguiltyblack heartsmiling face with three hearts",eliselona333,1,2021-10-12,neg,neg
jake gyllenhaal pretty much carries this thriller playing a la dispatcher navigating a kidnapping call. did not see where the story was going inregards to the kidnapping. but jake is characters personal story is kept hidden. but it will not take much to figure out. theguilty,secretavenger22,0,2021-10-12,pos,pos
theguilty was stupid idc what anyone says.,wickedxxgames,0,2021-10-12,neg,neg
broken people save broken people. theguilty,itslizyo,1,2021-10-12,neg,neg
man theguilty was a waste of time. whole damn movie took place on the phone.,niecejanel,1,2021-10-12,pos,neg
woot woot! in the house! theguilty,lincolnlhayes,1,2021-10-12,pos,pos
yo i’m not even done with this movie but / stars for jake gyllenhaal in theguilty oh my god,kelseyraeokay,2,2021-10-12,pos,pos
theguilty on netflix definitely gave off copaganda vibes. not sure what we were supposed to make of that endingwoozy,yagirlaley,1,2021-10-12,neg,pos
“broken people save broken people” dang that hits hard theguilty great flick,nadiamarie22,0,2021-10-12,neg,pos
broken people save broken people theguilty heart,sharafstar22,1,2021-10-12,neg,pos
"listen to ""lethal protector"" by w. tv movies reviews venomlettherebecarnage venom addamsfamily theguilty themanysaintsofnewark queenpins labrea",dxdonmega,1,2021-10-12,pos,neu
"listen to ""lethal protector"" by w. tv movies reviews venomlettherebecarnage venom addamsfamily theguilty themanysaintsofnewark queenpins labrea",amiontheair,1,2021-10-12,pos,neu
i’m watching theguilty and there is no way she’d have her phone that long.,itslizyo,0,2021-10-12,neg,neg
"liked jake gyllenhaal in theguilty but i still wonder why his character had to be asthmatic.. and his tears was fake, the close shots did not help weary",e_bukkie,0,2021-10-12,pos,neg
"jake gyllenhaal delivers a career-best performance in netflix is excruciatingly tense crime thriller, theguilty read is review:",tvguide,26,2021-10-12,neg,neg
theguilty on netflix flushed.,solarpsycho,0,2021-10-12,pos,neu
i just watched theguilty on netflix! what a thrilling ride it was with a lot of turning points. i was so immersed in this film and it kept me on edge throughout. it was a thrilling stress inducing experience and jake gyllenhaal as per usual absolutely killed it.,drkskellington,0,2021-10-12,pos,neg
"this btch emily on theguilty is really grinding my gears .. ion know how that man sat &amp; listened to that sht , i would’ve been like “ well btch just die , tfck wrong w. you cause you up here manifesting yo own death &amp; sht while im trying to save yo dumb ass ! “",africanqween_,0,2021-10-12,neg,neg
theguilty ’ imdb netflix jakegyllenhaal the suspense is crazy,ladydsani,0,2021-10-12,neg,neg
"wow, i did not think i could find a male character more insufferable than i find joe baylor in theguilty - he is a trash bag human the whole way through. do not care how it ends. please tell me the dane is easier to watch.",hornyfiresale,0,2021-10-12,pos,pos
theguilty on netflix is pretty decentok hand medium skin tone,__jaswx,1,2021-10-12,pos,pos
"""hollywood has only just begun to reckon with the harm done by ""copaganda,"" and while theguilty tries to address this legacy, the attempt feels hollow.""",mediaversityrev,0,2021-10-12,neg,neg
you can tell this is a covid movie joy theguilty,priscillahhh,0,2021-10-12,pos,pos
"wow, what a film theguilty is! you literally see everything without seeing anything exploding head i do not normally tweet about films etc, but you have to watch it tv",jordanevans1707,1,2021-10-12,pos,pos
"just found out, theguilty was directed from a van, shot only in  days. powerful story only needs a meticulous teller.",tabeshq,0,2021-10-12,pos,pos
theguilty is the biggest load of crap i’ve ever watched,kirsten_pringle,1,2021-10-11,neg,neg
emily is ticking me off. theguilty,priscillahhh,0,2021-10-11,pos,neu
"warning! do *not* watch the guilty on netflix. it is just an hour of shitty voice acting and the ""plot twist"" is predictable. theguilty",sweetenedcafe,1,2021-10-11,neg,neg
i rated the guilty () / imdb theguilty,agitadorfcp,0,2021-10-11,neg,neg
jakegyllenhaal is excellent in theguilty on what a performance from him again!,anneblondel,2,2021-10-11,pos,pos
theguilty () aka jake gyllenhaal playing a guy who is just criminally terrible at his job weary,tchtjustine,1,2021-10-11,neg,neg
"my thoughts video on the  netflix thriller 'the guilty' is out now! eyes what movie should i watch next, i wonder? theguilty horrormovies tiktok",loriirosetv,4,2021-10-11,neg,neg
thegreenknight was a 'lil bit too abstract for me but theguilty was dope. basically i give a +/ to every movie that makes me cry and since i have kids it is almost every movie including a crying kid..,dekker_,0,2021-10-11,neg,neg
but what a slap this movie astonishedastonished really !! very intense and immersive. theguilty,angy_992,0,2021-10-11,pos,pos
just watched theguilty and the sad truth is that this is probably someone is reality because they can not afford to keep taking their mental health medication americaisfucked,hannah_walker13,0,2021-10-11,neg,neg
"jake gyllenhaal in theguilty is something else, that man carried a whole film by himself with a rollercoaster of emotionscold sweat brilliant film!",_laurahowells,0,2021-10-11,pos,pos
"jake gyllenhaal trying to cry in this film, jesus christ. unspeakably terrible stuff theguilty",cianbynature,0,2021-10-11,neg,neg
that was one hell of a messed up twist theguilty,brincatjeron,0,2021-10-11,pos,neg
i’m not sure i understand theguilty. like i get it but…,ezzyd0esit,0,2021-10-11,neg,pos
theguilty on netflix is absolute turbo dog shit. avoid theguiltynetflix,ads_nybergski,1,2021-10-11,pos,neg
jakegyllenhaal talks the unique formal constraints that he and director antoinefuqua employed in filming their gripping minimalist thriller theguilty — read the q&amp;a on our site:,nbrfilm,2,2021-10-11,pos,pos
watching theguilty on netflix and its p good,trans__royale,0,2021-10-11,pos,pos
jake gyllenhaal is some actor theguilty,sirtomweakley,0,2021-10-11,pos,neu
watching theguilty on,michaelcallagh7,0,2021-10-11,pos,neu
this movie is wild theguilty,bravelilbear,2,2021-10-11,pos,neu
do not even watch theguilty it is way too long and the pay off ai not worth it.,hastyletweets,1,2021-10-11,neg,neg
"listen to ""lethal protector"" by w. tv movies reviews venomlettherebecarnage venom addamsfamily theguilty themanysaintsofnewark queenpins labrea",dxdonmega,0,2021-10-11,pos,neu
theguilty on netflix is a good movie. jake gyllenhaal alone was enough to carry the movie on his expressions and look.,desiinpardes,4,2021-10-11,pos,pos
theguilty is such an intense! movie! wowzah!,cryptoqueerj,0,2021-10-11,pos,pos
i love to see that christina vidal is still around theguilty istillmisstaina,msfamousmimi,0,2021-10-11,pos,pos
"""'the guilty' is a tour de force of acting from jake gyllenhaal and one great thriller to go with it."" click the link for my ★★★★ review of theguilty on letterboxd",mjfilmfanatic,0,2021-10-11,pos,pos
going to give theguilty a watch on . heard some good things about it.,kopite_78,0,2021-10-11,pos,pos
broken people save broken people theguilty,tataairina,0,2021-10-11,neg,neg
"saw notimetodie at cinema on saturday, really like the movie...... would say one of my favourites of recent bond movies+ also watched theguilty on netflix on sunday...... and that is .hrs i wish i could get back -",spursfanva,1,2021-10-11,pos,pos
theguilty my experience - at the start of it felt like hv literally seen jakegyllenhaal age thru these thriller movies.. but then about  minutes to the close it got pretty interesting and it was a satisfactory watch.. ./ thumbs up light skin tone,forthemaster_7,0,2021-10-11,pos,pos
this film theguilty has so much anxiousness right from the start even i’m biting my nails eyes,harimirchein,3,2021-10-11,pos,neg
"theguiltynetflix - when asked ""what scene do you wish you were in"" for the film theguilty, dave imagines himself as a butler at the  call center. justin finds this hilarious. and sad.",whyarepeoplewa1,0,2021-10-11,neg,pos
dave and justin watched theguilty - justin wonders why the scandinavians are obsessed with dead children. dave calls  and speaks directly with jake gyllenhaal about advil and starbucks.,whyarepeoplewa1,0,2021-10-11,neg,neg
saw theguilty on . not quite convinced by this format. intrigued to see the original which i hear is far superior.,rahulpuri,1,2021-10-11,pos,pos
just watched theguilty _ph movie camerapopcornclapper,reabebe,0,2021-10-11,pos,neu
"if you've watched the jake gyllenhaal version, i recommend you check out the  danish version of theguilty, which, as you might expect, is a bit better (you can rent/buy it in a variety of places). the lead may not be quite as dreamy, though.",filmjabber,2,2021-10-11,pos,pos
i’m so confused on this movie theguilty,nutoriouskim,0,2021-10-11,neg,neg
"on this week is episode, we discuss the films the many saints of newark, no time to die, the guilty, and bingo hell. themanysaintsofnewark notimetodie theguilty bingohellmovie",spoilerpiece,0,2021-10-11,pos,neg
theguilty this officer have anger damn issues,nutoriouskim,0,2021-10-11,neg,neg
"idk, if i can see jake the same why? because he said does not shower theguilty",nutoriouskim,0,2021-10-11,pos,neg
why i am watching guilty and this giving me that halle berry movie vibes theguilty,nutoriouskim,0,2021-10-11,neg,neg
watching theguilty and makes a phone call joy,touchefouche,0,2021-10-11,pos,pos
this is my kinda movie.. hr min and blood pressure rising from the start theguilty,awalkingginger,0,2021-10-11,pos,neg
watching theguilty,lazy_skelet0n,0,2021-10-11,pos,neu
theguilty on netflix proves the theory i'd watch jake gyllenhaal do improv for two hours. essentially no plot line and feels like watching a 'whose line is it anyway?' sketch where the crowd just yells emotions. like he was warming up for a memorable movie; i'll prob rewatch,rydawgsquared99,0,2021-10-11,pos,pos
cant believe i watched him on phone for  freaking hours !! theguilty,inaworldbeyond,0,2021-10-11,pos,neg
aloha movie friends another edition of cine-critique for your listening pleasure dianathemusical theguilty lapsis &amp; more including part of ⁦⁩ interview enjoy!,movie_analyst,0,2021-10-11,pos,pos
"mixed reviews for the netflix remake of the guilty, but i thought it was mesmerising stuff. single-location phone thriller that recalls  is locke. check it out theguilty theguiltynetflix locke",fletchermoss,3,2021-10-11,neg,neg
"new to : jake gyllenhaal is crime-thriller theguilty, a broadway production on princessdiana, new slasher flick theressomeoneinsideyourhouse, and more",thehinducinema,2,2021-10-11,pos,neu
"hollywood has only just begun to reckon with the harm done by copaganda, and while theguilty tries to address this legacy, the attempt feels hollow. my full review for :",alicjajohnson,6,2021-10-11,pos,neg
only jake gyllenhaal and antoine fuqua can make a movie directed from a van in  days theguilty,aayadiaries,0,2021-10-11,pos,neu
the guilty - solid remake. enjoyed it almost as much as the original. theguilty moviereview,gr8moviesearch,0,2021-10-11,pos,pos
"""a story of his own""?? rofl remake theguilty",beamarting,0,2021-10-11,pos,pos
anyone else watch theguilty on ?? the fact that you do not actually see what is going on but experience the events solely through telephone calls and jake gyllenhaal is acting is incredible and intense!,justnabz,1,2021-10-11,pos,pos
broken people save broken people! heart theguilty netflix,bvn_saikiran,0,2021-10-11,neg,pos
i’m so confused about this movie theguilty,papah_airplanes,0,2021-10-11,neg,neg
this movie got me so stressed. that twist made things worse. bloody hell! theguilty,kabzdagentleman,0,2021-10-11,neg,neg
whatever you do do not waste time watching theguilty on netflix. it is utterly ridiculous on every single level start to finish. it is so bad it is literally insulting. and i am a huge jake gyllenhaal fan. --,tkaz99,0,2021-10-11,neg,neg
theguilty with jake g!!! good as fuck.,just_drizzy,0,2021-10-11,pos,neg
if you have not seen is theguilty you’re sleeping on one of the best films of the year. an edge-of-your-seat thriller with superb big-name voice acting and a tour de force performance by jakegyllenhaal who is literally in an office the whole movie. / theguiltynetflix,ghostwhoisgray,0,2021-10-11,pos,pos
omg this movie murdered me. theguilty,mokelly1066,2,2021-10-11,pos,neg
idk if this part of the phone call is gonna help your case joe. theguilty,notaroyalfan1,0,2021-10-11,pos,pos
where is joe is supervisor? can not she listen in on his calls because man is losing it. theguilty,notaroyalfan1,1,2021-10-11,pos,neg
recently watched movies: theguilty () - starstarstar /; oldhenry - starstarstar /; the gateway - starstar /; freeguy - starstar /;,spectralshock,0,2021-10-11,pos,neu
"damn, joe is about to lose it some more. thinking he was helping save emily but turns out he was helping a crazy mother who killed her son. theguilty",notaroyalfan1,0,2021-10-11,neg,neg
jake gyllenhaal…great job my man! theguilty netflix,wordswithkris,2,2021-10-11,pos,neu
theguilty on do it. wow. edge of your seat thrill ride. jake gyllenhaal is the man!,thelucaschase,0,2021-10-11,pos,pos
this dude definitely is not cut out to be a  operator. theguilty,notaroyalfan1,2,2021-10-11,pos,pos
broken people save broken people. theguilty,furrnandotorres,1,2021-10-11,neg,neg
"listen to ""lethal protector"" by w. tv movies reviews venomlettherebecarnage venom addamsfamily theguilty themanysaintsofnewark queenpins labrea",dxdonmega,2,2021-10-11,pos,neu
wow theguilty was one of the worst movies i’ve ever watched. literally not one thrilling part of the movie,jackgoffsalot,2,2021-10-11,neg,neg
i'm watching theguilty and i am so freaking invested i am literally on the edge of my seat.,mokelly1066,1,2021-10-11,pos,neg
chile this whole family is cracked theguilty,latesia27,0,2021-10-11,pos,neu
_ i do not think the twist was meant to be unpredictable considering the title of the movie literally refers to that. theguilty,beingshubho,3,2021-10-11,neg,neu
i am shocked that i only wanted to give up on watching theguilty when there was a mere  minutes remaining. i guess i stick it out.,unsarah,0,2021-10-11,neg,neg
